id_calle,orden_carga,nombre_calle
1,1901,"Pizarro , Francisco"
2,1902,Constitucion
3,1903,El Tobiano
4,1904,Cerro Catedral
5,1905,El Tronador
6,1906,"Hernandez , Jose"
7,1907,Fitz Roy
8,1908,Pucara
9,1909,Tupungato
10,1910,Aconcagua
11,1911,Gorriti
12,1912,Colegiales
13,1913,Pico Salamanca
14,1914,1º de Mayo
15,1915,Independencia
16,1916,Los Alerces
17,1917,Los Andes
18,1919,El Arriero
19,1920,El Ovejero
20,1921,El Domador
21,1922,La Pulperia
22,1923,El Baqueano
23,1924,"Burgueño , Juan Carlos"
24,1925,"Gomez , Francisco"
25,1926,El Payador
26,1927,La Tradicion
27,1928,El Chasqui
28,1940,"Cretton , Armando"
29,1958,Calle 1958
30,1959,Calle 1959
31,1960,Calle 1960
32,1961,Calle 1961
33,1962,Calle 1962
34,1963,La Tropilla
35,1971,Cerro La Plata
36,1976,Cerro El Dedal
37,1977,Cerro Monje
38,1982,El Rastreador
39,1983,El Paisano
40,1998,Calle 1998
